nga|LNKR
mahulat|VB
makakarawat|VB
magkamay-ada|VB
nangaro|VB
ginbaton|VB
tikangan|VB
nag-anak|VB
nagbubuhat|VB
ibinutang|VB
pagbantay|VB
tinatagan|VB
sinulod|VB
pagsiday|VB
nailiw|VB
binayaan|VB
pagparade|VB
makahimo|VB
dadlagan|VB
nagpapadayon|VB
bulaga|VB
hunahuna-a|VB
sagot|VB
magraot|VB
nagdugang|VB
nagkalakat|VB
iginbutang|VB
naghulat|VB
ginbiling|VB
nahadlok|VB
nagpasabot|VB
napatay|VB
lapid|VB
pagbubuhaton|VB
pagkilala|VB
nakapira|VB
masurat|VB
bagaw|VB
pagsaysay|VB
tuhaya|VB
pina-agi|VB
inuli|VB
nanginginyupo|VB
among|VB
ginbibiniling|VB
hubo|VB
makakahimo|VB
umutang|VB
iginpadara|VB
masige|VB
mahahatag|VB
hulton|VB
nagbibiling|VB
kirigta|VB
nag-ukoy|VB
iginsumat|VB
dinalagan|VB
maupod|VB
na-shock|VB
nasunog|VB
pag-inom|VB
idurayhag|VB
inukoy|VB
sarado|VB
umabot|VB
amin|VB
pakahulat|VB
huhulaton|VB
magbuhat|VB
lingi-a|VB
dinako|VB
hinbatian|VB
lubas|VB
iginbaligya|VB
ginduok|VB
mapirde|VB
hin-again|VB
magbiling|VB
pagkirigta|VB
bumalik|VB
bilib|VB
pagdatong|VB
naghadi|VB
namamasko|VB
nag-inom|VB
buliga|VB
ginkinita|VB
sumulod|VB
bati-a|VB
suguon|VB
kapot-kapot|VB
nagburod|VB
magbibiling|VB
linambong|VB
natuman|VB
nahulat|VB
humana|VB
huhuna-hunaon|VB
nagkukuha|VB
pagpasarang|VB
pagsumati|VB
pautanga|VB
kinanta|VB
natutdo|VB
iginyakan|VB
human|VB
dad-i|VB
nagdako|VB
pupusilon|VB
dumiretso|VB
tumuok|VB
nahibaruan|VB
nagtindog|VB
ginsaway|VB
nagtitikamahal|VB
pakilala|VB
gin-inobserbahan|VB
magkikirigta|VB
kita-kita|VB
pataka|VB
makaagi|VB
nagbiling|VB
ginpapakadto|VB
paghingyap|VB
nag-upod|VB
pag-alang|VB
kinanhi|VB
pinatay|VB
dinara|VB
ginkanta|VB
igin-anak|VB
maabot|VB
pautang|VB
iglubong|VB
itinubyan|VB
baya-i|VB
nagkatatawo|VB
gin-ubos|VB
dakop|VB
pinan-gugutom|VB
baa|IDEX
ginkikilala|VB
kakarag|VB
pakadia|VB
tumikang|VB
takas|VB
pag-aanhon|VB
dakop-dakopay|VB
higugmaay|VB
ata|IDEX
yinukbo|VB
ilista|VB
pusila|VB
maghulat|VB
inutang|VB
ginsaad|VB
ginpakadto|VB
pagbuhat|VB
kumusta|IDEX
naka|AFX
maka|AFX
pinaka|AFX
nagka|AFX
igkasi|AFX
tukod|VB
paagi-a|VB
i-uli|VB
alayon|IDEX
tag|AFX
paki|AFX
mala|AFX
nakikig|AFX
maki|AFX
tika|AFX
VB|VB
palusada|VB
sabagay|IDEX
ugsa|PSTN
paano|NTRG
natika|AFX
tig|AFX
nagpaka|AFX
nakakag|AFX
magkukuha|VB
kaawod|VB
ngalaong|IDEX
baw-baw|PSTN
paunan-o|NTRG
mabug-at|ADJV
hilarom|ADJV
bakante|ADJV
eksakto|ADJV
nadadangas|VB
papakiana|VB
kunsi|IDEX
maiihap|ADJV
nadiretso|VB
nagbagsak|VB
hanhani|ADVB
dali-dali|ADVB
agsob|ADVB
