nga|LNKR
among|VB
ginbibiniling|VB
hubo|VB
makakahimo|VB
umutang|VB
iginpadara|VB
masige|VB
mahahatag|VB
hulton|VB
nagbibiling|VB
kirigta|VB
nag-ukoy|VB
iginsumat|VB
dinalagan|VB
na-shock|VB
nasunog|VB
pag-inom|VB
idurayhag|VB
inukoy|VB
sarado|VB
amin|VB
pakahulat|VB
huhulaton|VB
magbuhat|VB
lingi-a|VB
dinako|VB
hinbatian|VB
lubas|VB
iginbaligya|VB
ginduok|VB
mapirde|VB
hin-again|VB
magbiling|VB
pagkirigta|VB
bilib|VB
pagdatong|VB
naghadi|VB
namamasko|VB
nag-inom|VB
buliga|VB
ginkinita|VB
bati-a|VB
suguon|VB
kapot-kapot|VB
nagburod|VB
magbibiling|VB
linambong|VB
natuman|VB
nahulat|VB
humana|VB
huhuna-hunaon|VB
nagkukuha|VB
pagpasarang|VB
pagsumati|VB
pautanga|VB
kinanta|VB
natutdo|VB
iginyakan|VB
dad-i|VB
nagdako|VB
pupusilon|VB
dumiretso|VB
tumuok|VB
nagtindog|VB
ginsaway|VB
nagtitikamahal|VB
pakilala|VB
gin-inobserbahan|VB
magkikirigta|VB
kita-kita|VB
pataka|VB
makaagi|VB
nagbiling|VB
ginpapakadto|VB
paghingyap|VB
nag-upod|VB
pag-alang|VB
kinanhi|VB
pinatay|VB
dinara|VB
ginkanta|VB
igin-anak|VB
pautang|VB
iglubong|VB
itinubyan|VB
baya-i|VB
nagkatatawo|VB
gin-ubos|VB
pinan-gugutom|VB
baa|IDEX
ginkikilala|VB
kakarag|VB
pakadia|VB
tumikang|VB
takas|VB
pag-aanhon|VB
dakop-dakopay|VB
higugmaay|VB
ata|IDEX
yinukbo|VB
ilista|VB
pusila|VB
maghulat|VB
inutang|VB
ginsaad|VB
ginpakadto|VB
pagbuhat|VB
kumusta|IDEX
naka|AFX
maka|AFX
pinaka|AFX
nagka|AFX
igkasi|AFX
tukod|VB
paagi-a|VB
i-uli|VB
alayon|IDEX
tag|AFX
paki|AFX
mala|AFX
nakikig|AFX
maki|AFX
tika|AFX
palusada|VB
sabagay|IDEX
ugsa|PSTN
paano|NTRG
natika|AFX
tig|AFX
nagpaka|AFX
nakakag|AFX
magkukuha|VB
kaawod|VB
ngalaong|IDEX
baw-baw|PSTN
paunan-o|NTRG
mabug-at|ADJV
hilarom|ADJV
bakante|ADJV
eksakto|ADJV
nadadangas|VB
papakiana|VB
kunsi|IDEX
maiihap|ADJV
nadiretso|VB
nagbagsak|VB
hanhani|ADVB
dali-dali|ADVB
agsob|ADVB
﻿amon|NN
Jeremy|NN
Evardone|NN
Ingko|NN
sirom|MDFR
am|CJTN
Ditoy|NN
nakasakay|MDFR
kangga|NN
gindadanas|VB
napiyong|VB
kundi|CJTN
nangungulaw|VB
direksyon|DT
mo|NN
makulwan|VB
lampara|NN
bablay|NN
hagluag|MDFR
pasakay|VB
napuputos|VB
kasisidman|MDFR
mababatian|VB
mao|IJTN
hururingay|VB
lanyog|DT
di|CJTN
pagginhawa|VB
panlagapok|VB
martilyo|NN
baryohanon|NN
panday|NN
nagtatrabaho|VB
nag-aapura|VB
lungon|DT
tipauli|VB
nagrurumba|VB
hunahuna|MDFR
arog|NN
posible|IJTN
sinurender|DT
paraghubog|NN
Tatay|NN
tibihon|MDFR
Nanay|NN
simang|MDFR
Manding|NN
paragturi|NN
purya|MDFR
sira|MDFR
diyos|NN
nahinumdom|VB
ginsugo|VB
sobre|NN
pakahaw-as|VB
namon|NN
hinumdom|VB
nahinabo|VB
engkwentro|VB
ginhihimuan|VB
nakikimaluoy|DT
kabugtuan|NN
siya|NN
nagdedepensa|VB
ulitawuhay|NN
bugoy|NN
Totoy|NN
nagrumba|VB
siki|NN
piktaw|CJTN
panlagabong|VB
hiwa|DT
nakikidurongan|DT
nagtitikadako|VB
nasasabtan|DT
kulba|MDFR
gin-abat|MDFR
ito|CJTN
raysang|NN
ginmamartilyo|VB
nagtatabas|VB
maihap|NMBR
iginkakatapo|MDFR
palabas|NN
higante|NN
sinehan|NN
pag-inupod|DT
pinakasuok|DT
eksena|VB
ngadto|DT
pulgadas|DT
ginmamaso|VB
nakukulwan|VB
napara|DT
abat|DT
nanunuro|MDFR
hulas|MDFR
muhog|NN
rapadapa|NN
kilometro|DT
malurulaksi|MDFR
nakakabukod|VB
ulaling|IJTN
nagliliwat|VB
tingala|DT
tungod|MDFR
pag-apura|VB
ig|CJTN
masirom-sirom|MDFR
nagdidinalagan|VB
ginbubukod|VB
ako|NN
laksi|CJTN
iginpapalid|VB
gindadalaganan|VB
mahigimata|VB
sikhan|DT
kirisaw-kisaw|VB
bale-wara|MDFR
nagpapaphados|VB
pakasampaw|DT
welcome|CJTN
pagdalagan|VB
nakakaagaw|VB
atensyon|VB
maribhong|DT
mahuyo|VB
harampang|VB
burutbotan|IJTN
nakaagaw|VB
kawara|VB
sirado|VB
tindahan—temprano|PNN
alas-siyete|VB
ginhanap|VB
gintitikangan|VB
lakaw|DT
gulpi|DT
banog-banog|NN
nakahigot|VB
naghuhuyop|VB
nagdidikta|VB
liniko|VB
kanto|DT
kunay|DT
kanra|DT
ban-oha|DT
diniretso|VB
kara|IJTN
paghinangos-hangos|VB
pagtinulon|VB
paghinurim-hurim|VB
nakakabati|VB
liningi|VB
pan-grade|VB
nangangatugbos|VB
tagliligid|DT
maaning-ing|PNN
inagi|VB
hall|NN
unipormado|DT
haglaba|DT
nakapalibot|DT
duda|DT
nagsuot|VB
naghababaw|DT
nagdalapurap|VB
nagsasalwak|VB
gintadong|DT
kataposan|DT
haligot|DT
kalye|NN
nahimumutangan|DT
hinangad|VB
kapilya|NN
bulod|PNN
armado|NN
didto|MDFR
nakapalaypay|VB
uniporme|NN
kaldero|NN
naglalarab|VB
haring|VB
sini|IJTN
nagyayagingying|DT
nanhahagurong|VB
pag-abat|DT
nagtitiglaksi|IJTN
nagtitigkusog|VB
higripid|DT
deputa|IJTN
otro|DT
paguliat|VB
ginban-o|DT
iginlulupad|VB
pakaliko|VB
nakulwan|VB
gidadamo-i|DT
tawo—haros|PNN
baryohanon—nga|NN
nagsasarang|VB
hawan|VB
masuna|MDFR
petromax|NN
nagtatangis|VB
naguliat|VB
naghihibi|VB
nagtitigharani|MDFR
ginpapakianhan|VB
ginpapansin|VB
nalilibang|VB
pagpinanmahik|MDFR
nangungusyoso|VB
nagtitigdagko|VB
matangpos|DT
takop|NN
panangis|VB
nalandaw|DT
pagnguyngoy|VB
inse|NN
maring|NN
naluhod|VB
nagbabakho|VB
tupad|DT
minatay|VB
gintahoban|DT
presko|DT
dahon|NN
iton|CJTN
gintatangisan|VB
siton|IJTN
puyde|IJTN
nanhuhupong|VB
ginkukurog|VB
tuo|IJTN
nagyuyopyop|VB
wala|IJTN
pulo|NN
kanya|MDFR
kupsan|DT
nahutok|MDFR
tingog-tingog|MDFR
ginkakaistorya|VB
mataba|NN
nagtitiglubad|CJTN
nagiginsayo|CJTN
nakakabungol|VB
hagurong|VB
nalutaw|VB
kalaksihon|DT
pagduok|DT
sentro|NN
kasamokan|VB
kagupongan|DT
linuhod|DT
gindawag|MDFR
ug|CJTN
nakataklob|MDFR
nahingaratan|MDFR
ginkinulawan|VB
nahudaday|MDFR
pakaluhod|VB
naaning-ing|MDFR
natugbos|MDFR
nagtitinangis|VB
nagsasalakot|MDFR
kahiyok|MDFR
masurub-on|MDFR
makilal-an|MDFR
ini—si|IJTN
ginhigop|VB
kapiniton|MDFR
harupoy|MDFR
tipailarom|MDFR
nagmamala-salo|VB
nagtatalibong|CJTN
kalibotan|NN
kapulgada|MDFR
gin-alsa|VB
taklob|VB
kahimo|NN
gindimalas|VB
nasiplatan|VB
kahimo—duguan|MDFR
buklad|VB
laylay|MDFR
luho|MDFR
nagmingaw|VB
nagin|MDFR
kahoynon|VB
retold|MDFR
mike|NN
kahano|MDFR
olot|NN
tolosa|IJTN
leyte|NN
dida|PNN
da|IJTN
ginuusa|DT
nauusa|DT
kadidismayo|VB
babaye|NN
nabisita|VB
intra|DT
aton|IJTN
nadidismayo|VB
nasumatan|VB
hito|DT
gin-uusa|NMBR
napakada|DT
it|IJTN
nalilinop|VB
karigumok|VB
nausa|VB
kaiha-iha|VB
baman|IJTN
mag-itom-itom|NN
makaradlok|VB
itsura|NN
ay|IJTN
asus|IJTN
naghihilawas|VB
pagkasunod|NMBR
mag-anak|NN
hin|IJTN
mabusag-busag|NN
susupo|DT
magraksot|DT
magbusag-busag|DT
kahuman|CJTN
maitom-itom|DT
amerikano|NN
paggios|VB
nauusahan|VB
gin-oobserbahan|VB
daragkopay|VB
biling-biling|VB
mapaso-paso|VB
duro|IJTN
hiton|IJTN
maestro|NN
maestra|NN
nababantog|VB
itom|NN
lalaki…|NN
nag-obserbar|DT
huron|DT
in|IJTN
gin-iinusa|DT
kalalaksi|DT
nagpapamalagpak|DT
pag|IJTN
ginsisilawan|DT
nagresearch|VB
tacloban|NN
albino|NN
hit|IJTN
inin|IJTN
kanan…|IJTN
engkanto|NN
inheritance|DT
unta|IJTN
n|IJTN
talya|NN
ala|IJTN
magbusag|MDFR
kagurangan|NN
nagtap-ong|VB
untidy|DT
ginngaran|NN
igintreat|VB
encyclopedia|NN
nakakaribok|VB
harupihap|VB
jessa|NN
fe|NN
camolo|NN
pangidarunhiya|DT
tilaw|DT
karat-an|DT
pala|IJTN
kadugayan|IJTN
nakigbisug|DT
kasakit|DT
mapahirayu|MDFR
gihapun|CJTN
nag|CJTN
tinuok|DT
balhasun|MDFR
kasulob-un|MDFR
nala|CJTN
gin|CJTN
takpan|DT
nakig|CJTN
susru-ukay|VB
baga-baga|PNN
mimiling|PNN
kahimyang|PNN
gusto|DT
makaptan|DT
tas|CJTN
tanggalun|VB
kasulub-un|MDFR
pangidarun|DT
terapista|NN
edukado|NN
panyakan|MDFR
mag|CJTN
unong|CJTN
pagka|CJTN
hirani|DT
suki|DT
nan|CJTN
ngungukoy|MDFR
kahirani-an|MDFR
bulag|VB
iristuryahun|VB
panhilawas|VB
silaw|VB
harapit|DT
pagsulay|DT
labi|DT
kalalaki-an|NN
emosyunal|VB
iibaan|NMBR
dawla|CJTN
adtu|CJTN
kasayun|MDFR
pagkaput|VB
pagkakumportabli|MDFR
sustudad|MDFR
kairidad|MDFR
nakikipag|CJTN
ugupay|MDFR
pagwara|MDFR
kadilikaduhan|MDFR
tak|CJTN
babayepaunan-o|IJTN
libangan|MDFR
narespeto|MDFR
katub|MDFR
tuban|MDFR
tala-amay|NN
nagpaki-ana|VB
puydi|CJTN
mahilot|MDFR
hilot|MDFR
buko-buko|NN
sugbong|MDFR
naaru|MDFR
pasaylu|MDFR
akun|NN
pagkawaragin|MDFR
isplekar|VB
internasyunal|NN
back|DT
rubbing|NN
finals|DT
ika|CJTN
makuri|VB
pirdihun|MDFR
paghihirot|MDFR
anakigin|MDFR
pakigkuntisayigin|MDFR
isturya|VB
antique|NN
asian|NN
iniskuyla|MDFR
nagud|CJTN
pang-artihiya|MDFR
panhilot|VB
baltuk|MDFR
iisplikar|VB
hadtu|CJTN
igin|CJTN
pakita|MDFR
didtu|MDFR
sayud|MDFR
b|IJTN
nak|IJTN
turkey|NN
kabata|PNN
sumayaw|VB
belly|NN
dancing|VB
hinin|MDFR
hiyan|CJTN
antigo|MDFR
pagpabalud-balud|MDFR
fluid|MDFR
motionngan|MDFR
nagsasangpit|VB
kabug-usan|MDFR
nakakapandara|MDFR
nagn|CJTN
kaka|CJTN
gudsamtang|CJTN
haharupihap|VB
bungkog|VB
nanhipanhuyo|VB
nahingada|MDFR
siyahan|NMBR
was|MDFR
a|IJTN
baby|NN
isplikar|MDFR
nipis|PNN
hikap|VB
puya|MDFR
hamut|MDFR
kaparehu|MDFR
mahumok|VB
gi|CJTN
huhumuki|VB
makakagsumat|VB
kamatuoran|MDFR
hibabru|MDFR
anan|CJTN
nahinumduman|VB
nagtutubo|MDFR
napamalandungan|VB
nagtutdo|CJTN
unung|CJTN
malipayun|DT
paraghilot|VB
kag|CJTN
anyus|MDFR
pag-unat|CJTN
kalugaringun|MDFR
pagpirit|VB
ngadtu|VB
kaidaran|MDFR
nangadi|MDFR
nahangadi|MDFR
kapaladun|MDFR
natagamtaman|VB
hi-unung|CJTN
amyaw|MDFR
yvonne|NN
esperas|VB
mag-tiayon|VB
pirmi|CJTN
temprano|VB
makalanat|VB
gin-aabangan|VB
drama|VB
telebisyon|NN
eredera|NN
kaihaan|MDFR
nadiskubre|VB
bida|NN
natalwas|MDFR
pagkuri|CJTN
kawarayan|MDFR
katapus-tapusan|DT
nakatagamtam|DT
gihapon|CJTN
kasadangan|MDFR
subaybayan|MDFR
modelo|NN
paglaum|M
nangangalansing|VB
plato|NN
gin-aapurahan|VB
paghugasi|VB
ceding|NN
bagting|VB
nagpapasabot|VB
banlawi|VB
kinaonan|MDFR
nagdali|CJTN
jose|NN
pagkagawas|MDFR
pumuwesto|MDFR
tabla|NN
tv|NN
rico|NN
isabel|NN
nakakapalit|VB
kanihanglanon|MDFR
muebles|NN
appliances|NN
magririko|MDFR
kita|MDFR
sinasabot|VB
maangkon|MDFR
karikohan|MDFR
refrigerator|NN
pabrika|NN
hulugan|MDFR
malabo|MDFR
boundary|NN
usahay|MDFR
kaadlaw|MDFR
nakakalabaw|MDFR
igbarayad|MDFR
makakasadang|MDFR
senemana|VB
napliti|MDFR
nasusobra|MDFR
pambayad|DT
igparalit|DT
makatipid|MDFR
nagbubon|VB
panhugas|VB
pagkarigo|VB
panlaba|VB
nanmamahuway|VB
nahingadayan|MDFR
kaswerte|MDFR
kompleto|DT
flat|DT
screen|NN
3d|DT
ginkain|MDFR
gin-gagamit|MDFR
panalagsa|MDFR
lugoddiri|CJTN
iiliwon|MDFR
nag-iinintrimis|MDFR
seryoso|DT
iyawat|DT
makasamok|MDFR
at|CJTN
hisabtan|MDFR
kadaan|MDFR
sakot|MDFR
intrimis|MDFR
tambayan|MDFR
mangangalakat|MDFR
pagbakasyon|MDFR
mabubur-ok|DT
higagamitan|DT
nangalakat|VB
estados|MDFR
unidos|MDFR
nakapanhunahuna|VB
magtiayon|VB
magpahalibway|MDFR
suhito|MDFR
mercedes|MDFR
makasulod|MDFR
pader|NN
mayda|MDFR
nasasaklangn|VB
makatabok|MDFR
nagpatakas|MDFR
sabado|MDFR
domingo|MDFR
nagpapahalibway|MDFR
nag-inom-inom|MDFR
sumsuman|VB
ginhunahuna|MDFR
wine|NN
gintatagay|VB
olives|NN
cheese|NN
pagtatagay|VB
gin-iisa|NN
ginpapagrapo|MDFR
paghundaray|MDFR
mahangin|MDFR
nahipadpad|MDFR
nahihingaturog|VB
gawi|VB
nagdul-ong|MDFR
linabhan|MDFR
uruistoryahan|MDFR
agaron|VB
igpatong|MDFR
daan-daanan|VB
piktyur|VB
sukot|MDFR
nagtitirok|VB
misis|NN
maibanan|MDFR
junk|NN
pagpulsan|MDFR
maganansya|VB
igbaligya|VB
ig-upod|MDFR
namamalit|MDFR
igpapatong|MDFR
mister|NN
nagsumbong|MDFR
cedingkan|MDFR
pinanlumawan|MDFR
nanganugon|NN
nagdesisyon|VB
kawaton|VB
mahibaligya|MDFR
bang|CJTN
hidakpan|VB
magkapripriso|MDFR
matiempo|MDFR
ginhiningyapon|MDFR
kumusog|VB
kaburot-onumulpot|VB
transistor|MDFR
'da|IJTN
napapamatian|MDFR
notisya|MDFR
humagos|VB
makapukan|MDFR
huyop|VB
pag-alimbukad|VB
pagpareserba|VB
hotel|NN
nangagbalhin|VB
evacuation|NN
centers|NN
nangungukoy|VB
palantad|VB
pagbalhin|VB
kabutngaan|NN
naluluyo|CJTN
nahunahuna|MDFR
masasalipdan|MDFR
pagsabot|MDFR
tiyempo|MDFR
mahipapatuman|CJTN
pag-angkon|CJTN
nahibaroan|CJTN
condominium|NN
manila|NN
ngada|CJTN
nagmiringaw|VB
ubsa|MDFR
kabarak-an|MDFR
higayon|DT
karuyagon|DT
nanipig|VB
nagbutang|MDFR
pampabug-at|MDFR
atop|NN
nagpanhimati-bati|CJTN
nagplano|VB
panipig|VB
kakawaton|VB
pagtaklap|MDFR
pangawat|VB
masurosubasko|DT
nagmimiringaw|MDFR
katilingban|MDFR
ginputos|VB
cellophane|NN
manhingaturog|VB
nagpinanginano|VB
patak|MDFR
napanhibati-bati|MDFR
lambos|MDFR
nagtikakusog|VB
burong|IJTN
ginsusukwat|VB
ginlilinuab|VB
nakakapanerbiyos|IJTN
paglasorbo|VB
nangangaradol|VB
nagkakalupad|VB
natuklap|MDFR
nalisang|PNN
pagsirong|PNN
lamisa|NN
kinawat|MDFR
gin-upay|MDFR
umalimbukad|MDFR
nagkalilisang|MDFR
panuntong|MDFR
lababo|NN
makaiwas|DT
masalbar|MDFR
nagtitikahitaas|CJTN
naglagidlid|MDFR
tagasugbong|MDFR
nagsaklang|VB
nangalab-itay|CJTN
tisaka|IJTN
azotea|NN
igbos|CJTN
hipalid|VB
patawara|MDFR
naukab|MDFR
nagkabub-ong|MDFR
purtahan|NN
nanulod|VB
magkaiigo|VB
iginpapanlupag|MDFR
sim|NN
humitaas|DT
lampas|DT
nagpinangadi|VB
nagpinanginyupo|VB
humugpoy|MDFR
ginpamatian|MDFR
ampo|VB
humubas|MDFR
nagbilin|MDFR
hanang|DT
nasantop|DT
ginsakban|DT
kompyuter|NN
component|MDFR
katre|NN
nahulos|PNN
naghurugaw|PNN
aparador|NN
purta|NN
nagkahuhulos|MDFR
lumusad|MDFR
natigdaan|MDFR
labis|DT
mamutaw-i|CJTN
kamaupay|MDFR
naputos|PNN
nahin|CJTN
lapok|DT
garahe|NN
nabitay|DT
bungbong|NN
hanangon|MDFR
dumuaw|DT
nangurog|VB
nahisalin|MDFR
nahilaprak|VB
hikit-i|CJTN
gunitan|VB
makakaptan|VB
humangkop|VB
hangkop|MDFR
pag-asawa|VB
hingpit|CJTN
bumul-iw|CJTN
magkakamay-ada|MDFR
pag-asoy|MDFR
kumurukusog|CJTN
paghangkop|MDFR
nanlubog|DT
pangitaan|CJTN
bayhon|DT
rosa|NN
author|NN
lyndel|NN
lauron|NN
bacsal|NN
dionelo|NN
naton|DT
naihahatag|VB
amu|IJTN
maihatag|MDFR
kenney|NN
pasyente|NN
nagbibinalik|VB
pagtambal|VB
colon|NN
canser|NN
nagsarang|DT
kalawasan|NN
retirado|MDFR
namamahala|NN
hani|CJTN
establisyimento|MDFR
kawalo|NMBR
kag-|CJTN
pangidaron|NMBR
balomaaram|IJTN
–iiha|CJTN
pumahuway|MDFR
kadayunan|MDFR
gudla|CJTN
mapasu|VB
ngatanan|DT
hinu|CJTN
kuwarto|NN
maski|CJTN
siplatan|DT
uloamo|CJTN
tam|CJTN
kadak-|CJTN
manggod|CJTN
dayuday|MDFR
mapuypoy|MDFR
nababag|MDFR
kinaiya|DT
pamatasannaguguliatan|MDFR
naiisgan|VB
kuwartoini|VB
kahimtan|MDFR
nahigaraan|MDFR
nurse|NN
kamioo|CJTN
salta|MDFR
ospitaldida|NN
hiruhimangraw|MDFR
aburidu|VB
ngatanankaruyag|VB
bantayan|MDFR
nurses|NN
ugaring|CJTN
ginpapakita|MDFR
ginlalabog|VB
magkadirudilain|PNN
mahikaptan|VB
nagbabantay|MDFR
damu|CJTN
emergency|VB
room|NN
pagpinasaway|VB
tambalon|VB
anu|CJTN
taluhon|MDFR
kaptan|VB
bulngon|MDFR
naatoamu|CJTN
nagpinanlabog|VB
mahikaptanharos|CJTN
kag-usa|MDFR
my|CJTN
binubuhatdaku|VB
pakapirhuwesyo|VB
kabudlay|MDFR
iyatungod|CJTN
nailob|MDFR
kangalas|VB
ginyaknan|VB
imu|DT
kmi|DT
nakakasulay|VB
pasyentenagkakahahadlok|MDFR
imo|DT
magtingol|VB
kennet|NN
ginpapalingkod|VB
kama|NN
madaliay|MDFR
paglingkod|VB
kinabuhinagyakan|MDFR
manla|MDFR
nakakasabot|MDFR
paghiling|VB
pagtimangraw|MDFR
batunon|MDFR
kenny|NN
peru|PNN
nagpipirit|VB
nakadtu|MDFR
kabaysay|DT
makakatupong|DT
hin-onamimingaw|MDFR
nahingangalimtan|MDFR
tim-us|MDFR
sanu|DT
naharok|VB
akonmaski|CJTN
nahitabu|VB
pagharok|VB
ginkakamingaw|MDFR
naluoy|MDFR
pag-istoryahe|VB
otru|CJTN
ginoo|NN
maipadayon|MDFR
nagtuok|VB
tumuru|DT
matahi|DT
tumalikod|DT
kadayunanginkaptan|VB
kamut|NN
pasensiya|MDFR
tim|CJTN
nalulurong|PNN
mag-iiha|MDFR
kinabuhikaruyag|MDFR
makaupod|DT
mamati|VB
pagtimangnu|VB
babari|VB
ginbibinuhat|VB
pagtitinalinguha|MDFR
gin-iinandam|MDFR
tambal|DT
joseph|NN
makurian|MDFR
sakitkahuman|CJTN
pagbinulong|VB
puwede|CJTN
pabor|DT
kunano|MDFR
adtonga|CJTN
sumandig|VB
sano|MDFR
ginhahatag|VB
akonha|MDFR
ginkupkupan|VB
ginharukan|VB
katrabaho|DT
namatay|VB
gab-isugad|CJTN
yanangan|MDFR
pagtagi|MDFR
rosatinuod|CJTN
kakusog|VB
nahihimu|MDFR
tagsamaupay|CJTN
napapabulag|MDFR
maria|NN
teresa|NN
l|NN
delima|NN
twiiit|IJTN
araba|VB
lito|NN
nagpabulig|VB
ginsulod|VB
kurungan|MDFR
gintubungan|VB
ginpa-inom|VB
paghagos|MDFR
kasemana…|CJTN
twit|IJTN
kamalipayon|MDFR
gin-abrihan|MDFR
hirayo|MDFR
tagil-aw|MDFR
anita|NN
christine|NN
macale|NN
nanlalapdos|VB
paa|NN
uyo|DT
naghuhubas|VB
ginsasaog|VB
baloto|NN
kahibabwan|MDFR
gaod|NN
tood|NN
napungdol|VB
pagsiwak|MDFR
pagsirom|MDFR
sinyales|MDFR
katunaan|NN
magpuon|MDFR
panagat|DT
lawud|MDFR
mapuno|MDFR
balahoy|MDFR
hawak|NN
manlalara|DT
ubod|NN
kulabutan|MDFR
guliat|VB
grade|DT
four|NMBR
dodoy|NN
nagdadalagan|VB
natapo|MDFR
pagliliwan|VB
im|CJTN
uniform|NN
saway|DT
spelling|DT
panhambog|MDFR
sawang|NN
ice|NN
cream|NN
kundisyon|MDFR
nakaka|CJTN
iskuylahan|NN
kadisgrasya|VB
nasakay|VB
habal|NN
naliwat|MDFR
mangalayon|MDFR
ginbuwaan|MDFR
manghud|NN
magpinakiana|VB
uy|IJTN
aragmot|VB
napaid|MDFR
kamutangan|MDFR
magkaupod|MDFR
himu-i|MDFR
manugbanog|NN
hangyo|MDFR
nahuman|MDFR
nasiha|MDFR
pinakahataas|DT
masambog|MDFR
bagakay|NN
gingamit|CJTN
nagsisirom|MDFR
dulom|MDFR
nalilisang|VB
ginbul-iwan|VB
pisi|NN
aaraba|VB
sinangit|VB
natudlok|VB
sinangitan|VB
aaningal|VB
nahibalik|MDFR
sinundan|VB
pagsudsod|VB
natatap-ukan|VB
bitbit|VB
magpadis|MDFR
kipay|NN
dupa|MDFR
pana|NN
natarap|VB
nylon|NN
sumangit|MDFR
tarom|MDFR
lumunay|MDFR
gindaraon|VB
raymond|NN
hihimuan|MDFR
ikaw|NN
manggud|CJTN
uyas|VB
sasangitan|VB
pinanngutod|VB
madulom|MDFR
ginkinitaan|VB
nahipapalid|VB
iginwoworos|VB
panganod|MDFR
halot|MDFR
katuig|DT
nakakalabay|MDFR
halu-ag|DT
palupdan|VB
manugbanug|NN
pagdarudalaganan|VB
sisikalan|MDFR
pagdumot|MDFR
abrihan|VB
kapuno|MDFR
umatubang|VB
nagtatagil-aw|MDFR
mitoy|NN
kugus-kugus|VB
makoy|NN
tapu|VB
kamu|MDFR
dumiritso|MDFR
katri|NN
pahigda|MDFR
kakaturog|VB
maiwas|MDFR
nahipausa|MDFR
nakagyakan|VB
sunud-sunud|MDFR
tritrinabaho|VB
diba|CJTN
nagpromise|VB
nakakakaon|VB
beses|CJTN
us|PNN
aka|IJTN
pagsugad|MDFR
tumukdaw|VB
nagistorya|VB
kita-a|CJTN
renta|MDFR
paragwelding|VB
masadang|MDFR
gagamay|MDFR
nakakapanginano|VB
bag|NN
maguguba|VB
titinawaan|VB
klasmit|NN
hayskul|MDFR
makakapalit|MDFR
nahinabu|MDFR
padugang|MDFR
ambisyosa|DT
nakokontinto|MDFR
gustu|MDFR
martikon|MDFR
pagdad|MDFR
masugut|VB
kukuwaon|MDFR
pataya|VB
bago|CJTN
pagpabay-i|MDFR
malita|NN
ginsulud|VB
lukut-lukut|MDFR
impake|MDFR
nagliliningkod|MDFR
batuna|VB
kotse|NN
pagkinabuwasan|MDFR
pagud|CJTN
swimming|NN
pool|NN
duru|CJTN
pangarap|DT
atm|NN
magagamit|VB
purus|MDFR
tatakan|MDFR
nagsarit|VB
magaabroad|MDFR
appointment|MDFR
babe|NN
states|NN
meeting|VB
amun|PNN
business|NN
mamimis|MDFR
with|PNN
hug|VB
and|PNN
kisses|VB
pagkakinabuwasan|MDFR
lumabay|MDFR
tumuktuk|MDFR
nagtitinuktok|VB
abrehan|VB
kono|VB
nakapula|MDFR
papel|NN
maam|NN
notice|NN
ginduhol|VB
kakan|CJTN
basaha|VB
nandagko|MDFR
nahikalasan|VB
nakabasa|VB
sulud|MDFR
puru|CJTN
kaibutan|MDFR
masaklap|MDFR
nakangaran|CJTN
milyon-milyon|NN
nanluya|MDFR
magaanu|VB
tistingan|MDFR
nakokontak|VB
mag-aanu|VB
pag-uupod|VB
lourence|NN
bejar|NN
simbahan|NN
katitirok|VB
guin|NN
parutkan|CJTN
nagharokay|VB
atobangan|VB
cliff|NN
regina|NN
ellis|NN
dire|CJTN
ine|CJTN
alexandra|NN
kukuntra|MDFR
cancer|NN
duh|IJTN
dinhe|CJTN
hine|MDFR
planggana|NN
malanhod|MDFR
pariho|MDFR
hawaii|NN
simana|MDFR
labay|MDFR
suksok|MDFR
didito|MDFR
iniropan|MDFR
liwattukar|MDFR
kakanta|VB
hahangkopan|VB
lisensya|NN
misay|NN
simba|VB
zachary|NN
kahinerasyon|MDFR
pag-ginhawa|MDFR
pagliningkod|MDFR
sapit|MDFR
pagkatops|MDFR
bul-iwan|MDFR
nagging|CJTN
mahigugmaon|VB
paghinumdom|MDFR
pagkamatay|VB
epekto|MDFR
sarabotan|MDFR
maging|CJTN
zach|NN
sustento|MDFR
supurtahan|MDFR
rathburn|DT
kakilala|MDFR
hayskol|MDFR
estudyate|MDFR
4th|NMBR
year|NMBR
kikita|MDFR
pirmengan|CJTN
titinugpo|MDFR
ng|CJTN
sensitibo|DT
personalidad|PNN
magkka-anak|NN
magkakaurupodhira|MDFR
kakaestorya|VB
magkakatatawa|VB
magtatanges|VB
matinuodon|VB
pagpapakasal|VB
lalauman|VB
nagpapakasal|MDFR
maghihingkamot|MDFR
panganak|VB
perpekto|MDFR
kaada|CJTN
komplekasyon|MDFR
ham|CJTN
zachan|NN
kakatinuod|MDFR
alex|NN
diagnosed|MDFR
tungo|MDFR
bukog|NN
kuntra|DT
chemotherapy|DT
tag-yelo|CJTN
napag|CJTN
sabutan|MDFR
nagkakaada|MDFR
bone-marrow|NN
transplant|NN
nagmakalooy|VB
makig|CJTN
langoy|VB
kaisdaan|NN
matatabo|MDFR
maghihigugmaay|VB
matima|MDFR
pagdugtong|MDFR
papaabat|VB
himu|CJTN
kit-an|MDFR
pagkalalaki|MDFR
iiya|CJTN
kadungganan|MDFR
kasingkasing|NN
pag-upod|MDFR
katarapo|MDFR
mahihihngalimtan|MDFR
pagkaurupod|VB
hihigugma|VB
aantos|VB
pakusog|MDFR
maglugaring|MDFR
naintindihan|VB
papakasal|VB
gun|NN
kabog-at|CJTN
aagi-an|CJTN
nahibaro-an|MDFR
